UniqueID,Deep-Lying_Forward,Target_Forward,Poacher,Complete_Forward,Advanced_Forward,Pressing_Forward,Trequartista
14868,15.94164691,11.69461238,17.47943237,17.14617114,14.35070264,12.57558708,10.81184748
37588,23.30591626,17.70179499,5.726464114,15.31326958,9.753617063,14.31012738,13.88881061
24143,12.3649259,14.83265898,13.86842496,15.36947103,17.83497946,11.80994202,13.91959765
12982,14.46935685,13.6023301,13.22043398,12.84343289,14.48815534,15.44775657,15.92853426
11582,14.70094319,14.74657199,12.84781262,12.08901908,14.77589909,15.83186186,15.00789217
12490,14.47210741,14.0173222,14.29619276,11.26173829,15.95219887,14.95920707,15.04123339
20106,13.46743385,15.98572069,10.42760733,11.48426869,14.79922803,16.83220247,17.00353893
20566,13.46743385,15.98572069,10.42760733,11.48426869,14.79922803,16.83220247,17.00353893
12516,16.75925367,12.75799193,14.24751827,14.17255185,13.21927308,14.04489115,14.79852005
30066,13.79990129,17.50838787,16.35866715,12.84864874,12.8525569,13.48472814,13.14710991
30381,14.92324903,15.15962537,13.18308056,14.50676103,13.76233631,13.08547297,15.37947473
29659,14.36500543,15.77901485,14.57764647,13.84730172,13.27085974,13.71255186,14.44761994
30741,16.94328041,20.8758033,12.2259416,18.57949578,10.05775333,8.141754599,13.17597098
14205,14.73370764,21.99278393,14.75489086,9.726700274,14.95924909,14.35015006,9.482518136
7479,15.1801999,15.76789597,10.04353078,13.88090011,18.16298135,12.72204673,14.24244515
6971,12.76141497,14.82564209,2.340975619,35.7829765,17.94743162,2.772085482,13.56947373
7918,16.30326548,14.22324966,13.25470266,13.6007263,14.64405772,15.74498422,12.22901395
12300,12.21866877,17.3979201,10.20254718,9.015998389,16.10156698,20.46984992,14.59344867
17141,19.10725251,14.53743711,13.88420801,14.08079255,11.27452971,14.84441741,12.27136271
18024,19.32319744,16.61502001,13.19791878,13.8380661,12.47659014,13.32659253,11.222615
10033,15.86401209,21.66509545,13.47804241,14.03670159,10.53936071,11.37001949,13.04676826
9578,15.18222975,22.56497949,10.93451143,14.71916062,12.7963571,12.7646911,11.0380705
10445,13.9745269,18.69887893,15.89359377,15.34822891,14.44817303,10.63128585,11.00531261
16457,19.53040812,18.79885106,10.27235177,12.40648709,12.90773574,14.17863205,11.90553417
16845,19.53040812,18.79885106,10.27235177,12.40648709,12.90773574,14.17863205,11.90553417
4766,15.62255262,14.68113959,10.69119612,9.983156385,15.10768362,16.69672689,17.21754478
27384,13.62631375,13.95387715,21.70978753,13.95281345,12.18985736,15.32108396,9.246266804
30945,13.9561254,14.31783493,14.59260656,18.4478082,14.60759979,11.56607894,12.51194618
30582,13.75733769,14.80115257,16.40066554,19.94463301,10.25273146,13.27417475,11.56930499
16369,10.73563143,18.82116404,15.21243592,12.70157233,14.58450238,15.58066164,12.36403226
2524,12.09004156,20.82604785,18.60911827,11.8748095,11.99608646,14.55294139,10.05095498
33497,15.02227436,15.96120641,15.92538111,13.10826777,13.66102867,11.69541057,14.62643111
24693,17.00230201,11.75059726,15.39330772,14.59209198,15.59892061,10.7973531,14.86542731
25638,16.12583854,13.10857979,8.816681681,12.4953164,22.936167,15.25036315,11.26705343
7365,15.12275237,11.45400553,13.55224849,13.80293017,14.67947908,17.40783869,13.98074567
10302,13.41093918,18.97224764,14.9037525,16.98751921,18.11692464,9.105727137,8.502889682
8777,14.21698187,17.20342868,8.519800083,14.99223422,13.14025776,19.06092271,12.86637468
9855,14.63571604,17.64100542,11.90022245,17.67651444,13.19770262,10.4567666,14.49207244
9002,14.28257985,17.06818319,13.48557545,15.51623,12.74099532,11.94784372,14.95859247
22853,12.00586344,16.44333476,12.95298966,13.06252063,17.55734629,15.37963024,12.59831498
38626,15.86570191,20.71501255,14.92086021,12.01073595,13.49029673,13.90733337,9.090059283
23333,12.59452791,17.39257401,12.69281986,12.72354952,14.92606593,16.73826695,12.93219583
23800,12.27189056,16.51778632,13.21271913,12.31577278,16.98972258,15.91045492,12.78165371
27750,12.76141497,14.82564209,2.340975619,35.7829765,17.94743162,2.772085482,13.56947373
12847,17.90776856,16.44492902,10.56741063,10.55492207,13.63285692,16.95130184,13.94081096
12809,14.79019563,18.38371923,9.807787291,14.10657581,14.92667621,13.20511942,14.77992641
4243,15.21539375,13.50725118,11.9243087,13.79307939,14.26228084,14.77826368,16.51942246
11650,17.00205973,12.56823978,18.20150774,17.72157096,15.42930358,10.14853171,8.928786496
12080,18.59618968,13.15674012,16.44040525,16.90776367,16.8385889,9.721107955,8.339204422
10636,17.35326766,12.33185792,15.00998816,15.00899667,16.23772597,12.4955907,11.56257293
11125,15.93638713,12.56224977,17.73719172,14.00372964,13.22862429,13.69226706,12.8395504
36314,16.0073678,12.74884792,12.62960309,15.64450678,15.42453354,13.36943008,14.17571079
